,Country Code,Country Code (Metadata - Countries),Country Name,Income Group,Income Group (group),Region,SpecialNotes,TableName,Year,CO2 (kt),CO2 Per Capita (metric tons),Oil - Crude prices since 1861
0,SAS,SAS,South Asia,,,,South Asia regional aggregate. There are no economies in South Asia classified as high income.,South Asia,1960,139487.6917,0.243844208,1.9
1,BRN,BRN,Brunei Darussalam,High income: nonOECD,High income: nonOECD,East Asia & Pacific,,Brunei Darussalam,1960,333.697,4.078179041,1.9
2,GUM,GUM,Guam,High income: nonOECD,High income: nonOECD,East Asia & Pacific,,Guam,1960,,,1.9
3,MNP,MNP,Northern Mariana Islands,High income: nonOECD,High income: nonOECD,East Asia & Pacific,,Northern Mariana Islands,1960,,,1.9
4,NCL,NCL,New Caledonia,High income: nonOECD,High income: nonOECD,East Asia & Pacific,,New Caledonia,1960,861.745,10.90816456,1.9
5,PYF,PYF,French Polynesia,High income: nonOECD,High income: nonOECD,East Asia & Pacific,,French Polynesia,1960,36.67,0.469628472,1.9
6,SGP,SGP,Singapore,High income: nonOECD,High income: nonOECD,East Asia & Pacific,Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.,Singapore,1960,1393.46,0.846367833,1.9
7,HKG,HKG,"Hong Kong SAR, China",High income: nonOECD,High income: nonOECD,East Asia & Pacific,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.","Hong Kong SAR, China",1960,2955.602,0.960982311,1.9
8,MAC,MAC,"Macao SAR, China",High income: nonOECD,High income: nonOECD,East Asia & Pacific,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","Macao SAR, China",1960,51.338,0.299423759,1.9
9,CHI,CHI,Channel Islands,High income: nonOECD,High income: nonOECD,Europe & Central Asia,,Channel Islands,1960,,,1.9
10,FRO,FRO,Faroe Islands,High income: nonOECD,High income: nonOECD,Europe & Central Asia,,Faroe Islands,1960,58.672,1.712251211,1.9
11,GRL,GRL,Greenland,High income: nonOECD,High income: nonOECD,Europe & Central Asia,,Greenland,1960,223.687,6.882676923,1.9
12,IMN,IMN,Isle of Man,High income: nonOECD,High income: nonOECD,Europe & Central Asia,,Isle of Man,1960,,,1.9
13,LIE,LIE,Liechtenstein,High income: nonOECD,High income: nonOECD,Europe & Central Asia,,Liechtenstein,1960,,,1.9
14,MCO,MCO,Monaco,High income: nonOECD,High income: nonOECD,Europe & Central Asia,,Monaco,1960,,,1.9
15,RUS,RUS,Russian Federation,High income: nonOECD,High income: nonOECD,Europe & Central Asia,,Russian Federation,1960,,,1.9
16,CYP,CYP,Cyprus,High income: nonOECD,High income: nonOECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Cyprus,1960,887.414,1.548907456,1.9
17,LVA,LVA,Latvia,High income: nonOECD,High income: nonOECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Latvia,1960,,,1.9
18,LTU,LTU,Lithuania,High income: nonOECD,High income: nonOECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Lithuania,1960,,,1.9
19,AND,AND,Andorra,High income: nonOECD,High income: nonOECD,Europe & Central Asia,The base year has changed to 2000. Price valuation is in basic prices.,Andorra,1960,,,1.9
20,HRV,HRV,Croatia,High income: nonOECD,High income: nonOECD,Europe & Central Asia,"The new reference year for chain linked series is 2010. April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.",Croatia,1960,,,1.9
21,BHS,BHS,"Bahamas, The",High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,"Bahamas, The",1960,410.704,3.74983109,1.9
22,BRB,BRB,Barbados,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,Barbados,1960,172.349,0.746312799,1.9
23,CUW,CUW,Curacao,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,Curaçao,1960,,,1.9
24,CYM,CYM,Cayman Islands,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,Cayman Islands,1960,11.001,1.39837295,1.9
25,MAF,MAF,St. Martin (French part),High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,St. Martin (French part),1960,,,1.9
26,SXM,SXM,Sint Maarten (Dutch part),High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,Sint Maarten (Dutch part),1960,,,1.9
27,TCA,TCA,Turks and Caicos Islands,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,Turks and Caicos Islands,1960,,,1.9
28,TTO,TTO,Trinidad and Tobago,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,Trinidad and Tobago,1960,2581.568,3.042576086,1.9
29,VEN,VEN,"Venezuela, RB",High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,"Venezuela, RB",1960,57069.521,7.005107008,1.9
30,VIR,VIR,Virgin Islands (U.S.),High income: nonOECD,High income: nonOECD,Latin America & Caribbean,,Virgin Islands (U.S.),1960,,,1.9
31,ATG,ATG,Antigua and Barbuda,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Antigua and Barbuda,1960,36.67,0.67061685,1.9
32,KNA,KNA,St. Kitts and Nevis,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",St. Kitts and Nevis,1960,11.001,0.214875872,1.9
33,PRI,PRI,Puerto Rico,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,"Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.",Puerto Rico,1960,,,1.9
34,URY,URY,Uruguay,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,"In 2011, the Central Bank revised national accounts data for 2006 onward.",Uruguay,1960,4319.726,1.701583242,1.9
